Institute Id,Institute Name,City,State,Score,Rank,TLR,RPC,GO,OI,Perception
NIRF-ENGG-INF-361,"National Institute Of Technology, Durgapur",Durgapur,West Bengal,65.40,30,49.24,79.62,65.86,66.15,78
NIRF-ENGG-1-2456108684,Amrita School Of Engineering,KARUNAGAPALLY,Kerala,63.94,31,56.81,63.75,74.02,62.08,75
NIRF-ENGG-620,Shanmugha Arts Science Technology & Research Academy (Sastra),Thanjavur,Tamil Nadu ,63.77,31A,60.21,65.55,81.00,58.40,51
NIRF-ENGG-1-2452855119,Kalinga Institue Of Industrial Technology,BHUBANESWAR,Odisha,63.40,32,60.63,73.91,83.55,70.31,1
NIRF-ENGG-1-2455786386,M. S. Ramaiah Institute Of Technology-Bangalore,BANGALORE,Karnataka,63.39,33,40.32,72.19,95.08,66.33,61
NIRF-ENGG-1-2449931180,Coimbatore Institute Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,62.58,34,48.31,62.54,82.91,68.54,74
NIRF-ENGG-1-2451203119,R.V. College Of Engineering-Bengaluru,BENGALURU,Karnataka,62.26,35,55.40,65.31,77.86,48.75,76
NIRF-ENGG-INF-142,"National Institute Of Technology, Calicut",Calicut ,Kerala,62.26,35,56.09,71.53,72.03,64.42,40
NIRF-ENGG-INF-240,"Malaviya National Institute Of Technology, Jaipur",Jaipur,Rajasthan,62.14,37,55.13,71.63,74.32,62.16,41
NIRF-ENGG-1-2519066781,Pec University Of Technology-Chandigarh,CHANDIGARH,Chandigarh,61.32,38,62.21,55.58,70.83,55.49,77
NIRF-ENGG-1-2456080951,Manipal Institute Of Technology,MANIPAL,Karnataka,61.15,39,62.58,67.06,65.34,61.72,33
NIRF-ENGG-1-2455890291,Jamia Millia Islamia (A Central University),NEW DELHI,Delhi,60.18,41,47.68,76.73,56.87,47.60,72
NIRF-ENGG-INF-293,"Dr. B R Ambedkar National Institute Of Technology, Jalandhar",Jalandhar,Punjab,59.91,42,46.65,74.56,81.02,61.70,25
NIRF-ENGG-INF-333,"Indian Institute Of Science Education & Research, Mohali",Mohali,Punjab,59.58,43,59.29,82.22,13.39,50.12,83
NIRF-ENGG-350,Karunya Institute Of Technology And Sciences,Coimbatore,Tamil Nadu ,59.29,44,55.10,68.79,60.61,78.60,19
NIRF-ENGG-512,"Institute Of Technology, Nirma University",Ahmedabad,Gujarat ,59.23,45,48.41,54.52,67.95,69.27,81
NIRF-ENGG-1-2456278780,Kongu Engineering College,PERUNDURAI,Tamil Nadu,59.06,46,47.51,66.33,77.98,72.56,32
NIRF-ENGG-1-2456274762,sona College Of Technology-Salem,SALEM,Tamil Nadu,58.97,47,39.04,58.23,66.94,77.41,86
NIRF-ENGG-INF-144,"National Institute Of Technology, Kurukshetra",Kurukshetra ,Haryana,58.89,48,53.15,64.82,78.28,53.95,41
NIRF-ENGG-1-2452861917,Pondicherry Engineering College,PUDUCHERRY,Pondicherry,58.79,49,58.68,57.67,71.20,77.49,19
NIRF-ENGG-1-2449920071,"Amrita Viswa Vidyapeetham-Amrita Nagar (Po) ,Ettimadai","AMRITA NAGAR (PO) ,ETTIMADAI",Tamil Nadu,58.78,50,57.04,53.42,81.38,65.70,36
NIRF-ENGG-INF-145,"National Institute Of Technology, Hamirpur",Hamirpur ,Himachal Pradesh,58.65,51,41.60,73.08,77.24,63.30,41
NIRF-ENGG-INF-359,"National Institute Of Technology, Agartala",Agartala,Tripura,58.63,52,57.40,58.47,75.03,66.24,32
NIRF-ENGG-1-2456189964,Kumaraguru College Of Technology-Coimbatore,COIMBATORE,Tamil Nadu,58.44,53,57.49,58.03,69.44,70.34,32
NIRF-ENGG-57,B.S. Abdur Rahman Institute Of Science And Technology,Chennai,Tamil Nadu ,57.80,54,61.16,61.37,63.61,65.39,21
NIRF-ENGG-1-2455979851,Cochin University Of Science And Technology-Cochin,COCHIN,Kerala,57.69,55,46.89,72.99,55.16,51.52,66
NIRF-ENGG-INF-372,Sant Longowal Institute Of Engineering & Technology-Sangrur,Sangrur ,Punjab,57.52,56,57.24,67.97,55.50,35.40,67
NIRF-ENGG-INF-365,"National Institute Of Technology, Meghalaya",Shillong,Meghalaya,57.47,57,73.56,51.98,75.30,38.57,33
NIRF-ENGG-1-2451156700,Itm University - Gwalior (School Of Engineering & Technology)-Gwalior,GWALIOR,Madhya Pradesh,57.45,58,46.14,58.60,69.80,76.60,47
NIRF-ENGG-363,Koneru Lakshmaiah Education Foundation,Guntur,Andhra Pradesh,57.37,59,49.49,61.90,70.43,60.32,49
NIRF-ENGG-321,Jaypee Institute Of Information Technology,Noida,Uttar Pradesh ,56.79,60,45.21,59.86,79.38,69.05,40
NIRF-ENGG-1-2454054346,Bharati Vidyapeeth Deemed University College Of Engineering-Pune,PUNE,Maharashtra,56.56,61,55.60,34.04,90.52,75.50,50
NIRF-ENGG-1-2449912182,Bannari Amman Institute Of Technology-Sathyamangalam,SATHYAMANGALAM,Tamil Nadu,56.21,62,51.61,58.11,77.22,62.78,27
NIRF-ENGG-INF-368,"National Institute Of Technology, Raipur",Raipur ,Chhattisgarh,55.93,63,46.48,62.13,75.15,63.84,31
NIRF-ENGG-1-2451386658,Vishwakarma Institute Of Technology-Pune,PUNE,Maharashtra,55.70,64,43.67,64.68,77.11,48.56,48
NIRF-ENGG-INF-141,"National Institute Of Technology, Silchar",Silchar,Assam,55.49,65,55.75,58.12,66.08,71.32,12
NIRF-ENGG-516,Noorul Islam Centre For Higher Education,Kanyakumari,Tamil Nadu ,55.45,66,51.73,53.46,50.05,70.40,59
NIRF-ENGG-INF-358,"National Institute Of Technology, Srinagar",Kashmir,Jammu and Kashmir,55.30,67,50.37,59.18,72.01,60.42,33
NIRF-ENGG-1-2453375226,"University Institute Of Chemical Technology, North Maharashtra University, Jalgaon",JALGAON,Maharashtra,54.91,68,37.05,64.47,67.19,46.69,77
NIRF-ENGG-1-2451415750,National Institute Of Science & Technology-Berhampur,BERHAMPUR,Odisha,54.81,69,41.66,50.29,74.67,65.68,63
NIRF-ENGG-1-2450669659,Siddaganga Institute Of Technology-Tumkur,TUMKUR,Karnataka,54.67,70,52.98,51.91,72.17,66.37,30
NIRF-ENGG-1-2450577299,Chaitanya Bharathi Institute Of Technology-Hyderabad,HYDERABAD,Telangana,54.66,71,44.10,47.74,69.08,64.91,73
NIRF-ENGG-230,Hindustan Institute Of Technology  And Science (Hits),Chennai,Tamil Nadu ,54.32,72,52.71,41.67,69.01,79.65,42
NIRF-ENGG-1-2452919762,Sagi Ramakrishnam Raju Engineering College-Bhimavaram,BHIMAVARAM,Andhra Pradesh,54.02,73,50.02,48.05,75.83,75.45,23
NIRF-ENGG-1-2449860060,C.V.Raman College Of Engineering-Bhubaneswar,BHUBANESWAR,Odisha,53.91,74,46.77,56.85,81.69,55.36,23
NIRF-ENGG-1-2453916713,Kasegaon Education Societys Rajarambapu Institute Of Technology-Islampur,ISLAMPUR,Maharashtra,53.69,75,43.98,41.32,73.89,66.09,75
NIRF-ENGG-INF-404,"National Institute Of Technology, Goa",Ponda,Goa,53.65,76,57.70,38.61,66.13,46.27,85
NIRF-ENGG-INF-424,"Pandit Dwarka Prasad Mishra Indian Institute Of Information Technology, Design And Manufacturing (IIITDM), Jabalpur",Jabalpur,Madhya Pradesh,53.37,77,47.15,62.91,79.00,54.79,12
NIRF-ENGG-INF-362,"National Institute Of Technology, Jamshedpur",Jamshedpur,Jharkhand,53.35,78,36.73,67.70,79.14,48.80,31
NIRF-ENGG-1-2451417043,Institute Of Engineering & Management-Kolkata,KOLKATA,West Bengal,53.26,79,43.45,56.73,82.68,58.11,21
NIRF-ENGG-INF-410,"Indian Institute Of Information Technology, Design & Manufacturing (IIITD&M) Kancheepuram-Chennai",Chennai,Tamil Nadu,52.64,80,48.23,41.22,86.82,61.99,38
NIRF-ENGG-1-2452796944,Centurion Institute Of Technology,JATNI,Odisha,52.58,81,50.24,53.01,67.05,75.26,12
NIRF-ENGG-1-2455130573,College Of Technology And Engineering-Udaipur,UDAIPUR,Rajasthan,52.39,82,53.51,61.80,50.46,49.20,34
NIRF-ENGG-1-2453523111,Veermata Jijabai Technological Institute,MUMBAI,Maharashtra,52.17,84,32.29,57.85,79.62,59.06,47
NIRF-ENGG-1-2450743734,K. K. Wagh Institute Of Engineering Education & Research-Nashik,NASHIK,Maharashtra,51.92,85,37.52,45.97,70.43,60.73,80
NIRF-ENGG-1-2454009090,"Shri Ramdeobaba College Of Engineering And Management, Ramdeo Tekdi, Gittikhadan, Katol Road, Nagpur-Nagpur",NAGPUR,Maharashtra,51.50,86,46.81,47.19,72.78,61.03,34
NIRF-ENGG-INF-367,"National Institute Of Technology, Patna",Patna,Bihar,51.08,87,46.73,52.37,66.90,55.69,37
NIRF-ENGG-773,"Vignan's Foundation For Science, Technology And Research",Guntur,Andhra Pradesh,50.65,88,49.21,50.65,72.09,67.19,0
NIRF-ENGG-1-2453802770,Shri Guru Gobind Singhji Institute Of Engineering And Technology-Nanded,NANDED,Maharashtra,50.64,89,48.74,47.61,67.42,51.75,41
NIRF-ENGG-1-2454313873,Sri Ramakrishna Engineering College-Coimbatore,COIMBATORE,Tamil Nadu,50.55,90,46.62,56.15,67.80,65.62,6
NIRF-ENGG-1-2449883879,Bengal Institute Of Technology,KOLKATA,West Bengal,50.33,91,28.70,50.00,92.06,47.01,59
NIRF-ENGG-INF-408,"National Institute Of Technology, Delhi",Delhi,Delhi,50.22,92,41.30,48.26,61.61,67.57,45
NIRF-ENGG-1-2450722205,Yeshwantrao Chavan College Of Engineering-Nagpur,NAGPUR,Maharashtra,50.14,93,45.23,39.29,65.99,73.81,46
NIRF-ENGG-1-2449936766,Adhiyamaan College Of Engineering (Engineering & Technology),HOSUR,Tamil Nadu,50.04,94,52.00,49.66,54.04,59.65,34
NIRF-ENGG-1-2452443212,"Maharashtra Academy Of Engineering And Educational Research, Mit College Of Engineering, Pune-Pune",PUNE,Maharashtra,49.66,95,38.75,49.01,64.45,66.60,44
NIRF-ENGG-1-2455794950,The National Institute Of Engineering,MYSORE,Karnataka,49.514,96,38.67,46.65,77.95,64.66,35
NIRF-ENGG-1-2453623896,"Government College Of Engineering, Aurangabad (Academic Autonomous)",AURANGABAD,Maharashtra,49.511,97,43.40,49.06,71.34,50.18,43
NIRF-ENGG-1-2449945774,Anand Institute Of Higher Technology,CHENNAI,Tamil Nadu,49.41,98,29.71,55.27,78.24,61.62,35
NIRF-ENGG-1-2454813228,Noida Institute Of Engineering & Technology,GAUTAM BUDH NAGAR,Uttar Pradesh,49.24,99,44.10,38.54,79.51,69.04,27
NIRF-ENGG-1-2455123470,University Institute Of Chemical Engineering And Technology,CHANDIGARH,Chandigarh,49.09,100,39.97,56.55,78.30,51.32,17
